46	44	1	1
62	44	1	1
78	44	1	1
94	44	1	1
110	44	1	1
126	44	1	1
30	65	1	1
46	65	1	1
62	65	1	1
78	65	1	1
94	65	1	1
110	65	1	1
126	65	1	1
142	65	1	1
14	86	1	1
30	86	1	1
46	86	1	1
62	86	1	1
78	86	1	1
94	86	1	1
110	86	1	1
126	86	1	1
142	86	1	1
158	86	1	1
14	107	1	1
30	107	1	1
46	107	1	1
62	107	1	1
78	107	1	1
94	107	1	1
110	107	1	1
126	107	1	1
142	107	1	1
158	107	1	1
14	128	1	1
30	128	1	1
46	128	1	1
62	128	1	1
78	128	1	1
94	128	1	1
110	128	1	1
126	128	1	1
142	128	1	1
158	128	1	1
14	149	1	1
30	149	1	1
46	149	1	1
62	149	1	1
78	149	1	1
94	149	1	1
110	149	1	1
126	149	1	1
142	149	1	1
158	149	1	1
14	170	1	1
30	170	1	1
46	170	1	1
62	170	1	1
78	170	1	1
94	170	1	1
110	170	1	1
126	170	1	1
142	170	1	1
158	170	1	1
14	191	1	1
30	191	1	1
46	191	1	1
62	191	1	1
78	191	1	1
94	191	1	1
110	191	1	1
126	191	1	1
142	191	1	1
158	191	1	1
30	212	1	1
46	212	1	1
62	212	1	1
78	212	1	1
94	212	1	1
110	212	1	1
126	212	1	1
142	212	1	1
46	233	1	1
62	233	1	1
78	233	1	1
94	233	1	1
110	233	1	1
126	233	1	1
